trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
149	227.26257840002654	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	247.26342160004424	0.5001398999884259
150	228.76284740000847	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	248.76369060002617	0.5000838999985717
151	230.26369740001974	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	250.26454060003744	0.49940780000179075
152	231.76310050001484	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	251.76394370003254	0.49992289999499917
153	233.2631720000063	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	253.264015200024	0.4998580999963451
154	234.76306500000646	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	254.76390820002416	0.49911190001876093
155	236.26211120001972	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	256.2629544000374	0.4999550999782514
156	237.76214240002446	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	257.76298560004216	0.49969830000190996
157	239.26195230000303	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	259.26279550002073	0.5004541999951471
158	240.76257220000844	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	260.76341540002613	0.4993347999989055
159	242.2629513000138	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	262.2637945000315	0.5002079000114463
160	243.7629322000139	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	263.7637754000316	0.5003046999918297
161	245.26354680000804	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	265.26439000002574	0.49942350000492297
162	246.7628657000023	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	266.76370890002	0.5004743000026792
163	248.26324359999853	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	268.26408680001623	0.5002014000201598
164	249.76329200001783	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	269.7641352000355	0.5011005999986082
165	251.26337080000667	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	271.26421400002437	0.4995901999936905
166	252.7628163000045	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	272.7636595000222	0.49983750001410954
167	254.26276420001523	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	274.2636074000329	0.4996683000063058
168	255.76284229999874	stim	2		50	surprise	0.05	1.0	2000.0	1.0	275.76368550001644	0.49964860000181943
169	257.262775900017	stim	2		50	surprise	0.05	1.0	2000.0	1.0	277.2636191000347	0.49986129999160767
170	258.76362959999824	stim	2		50	surprise	0.05	1.0	2000.0	1.0	278.76447280001594	0.49988800002029166
171	260.2637339000066	stim	2		50	surprise	0.05	1.0	2000.0	1.0	280.2645771000243	0.49973120001959614
172	261.7632334000082	stim	2		50	surprise	0.05	1.0	2000.0	1.0	281.7640766000259	0.5000054000120144
173	263.26375740001095	stim	2		50	surprise	0.05	1.0	2000.0	1.0	283.26460060002864	0.49979579998762347
174	264.7639058000059	stim	2		50	surprise	0.05	1.0	2000.0	1.0	284.7647490000236	0.49947660000179894
175	266.2639832000132	stim	2		50	surprise	0.05	1.0	2000.0	1.0	286.26482640003087	0.49996429999009706
176	267.76395660001435	stim	2		50	surprise	0.05	1.0	2000.0	1.0	287.76479980003205	0.4998693999950774
177	269.2631105000037	stim	2		50	surprise	0.05	1.0	2000.0	1.0	289.2639537000214	0.49973700000555255
178	270.76289510002243	stim	2		50	surprise	0.05	1.0	2000.0	1.0	290.76373830004013	0.4998722999880556
179	272.26301380002405	stim	2		50	surprise	0.05	1.0	2000.0	1.0	292.26385700004175	0.4999070999911055
180	273.7627773999993	stim	2		50	surprise	0.05	1.0	2000.0	1.0	293.763620600017	0.49981050001224503
181	275.26399230002426	stim	2		50	surprise	0.05	1.0	2000.0	1.0	295.26483550004195	0.49992619999102317
182	276.76378950002254	stim	2		50	surprise	0.05	1.0	2000.0	1.0	296.76463270004024	0.5000183999945875
183	278.263735000015	stim	2		50	surprise	0.05	1.0	2000.0	1.0	298.2645782000327	0.5003754000063054
184	279.7638499000168	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	299.7646931000345	0.5003693999897223
185	281.26414890002343	stim	2		50	surprise	0.05	1.0	2000.0	1.0	301.2649921000411	0.5003726999857463
186	282.7642198000103	stim	2		50	surprise	0.05	1.0	2000.0	1.0	302.765063000028	0.4998877999896649
187	284.2646683000203	stim	2		50	surprise	0.05	1.0	2000.0	1.0	304.265511500038	0.49927679999382235
188	285.76313460001256	stim	2		50	surprise	0.05	1.0	2000.0	1.0	305.76397780003026	0.5005515000084415
189	287.26387510000495	stim	2		50	surprise	0.05	1.0	2000.0	1.0	307.26471830002265	0.49955450001289137
190	288.7636610000045	stim	2		50	surprise	0.05	1.0	2000.0	1.0	308.7645042000222	0.4998679000127595
191	290.26359470002353	stim	2		50	surprise	0.05	1.0	2000.0	1.0	310.26443790004123	0.4994748999888543
192	291.7634936000104	stim	2		50	surprise	0.05	1.0	2000.0	1.0	311.7643368000281	0.5006377999961842
193	293.26397960001486	stim	2		50	surprise	0.05	1.0	2000.0	1.0	313.26482280003256	0.5000867999915499
194	294.76434130000416	stim	2		50	surprise	0.05	1.0	2000.0	1.0	314.76518450002186	0.49972920000436716
195	296.2640730999992	stim	2		50	surprise	0.05	1.0	2000.0	1.0	316.2649163000169	0.5001228000037372
196	297.7643221000035	stim	2		50	surprise	0.05	1.0	2000.0	1.0	317.7651653000212	0.5006080000021029
197	299.26425130001735	stim	2		50	surprise	0.05	1.0	2000.0	1.0	319.26509450003505	0.5004448999825399
198	300.7648959000071	stim	2		50	surprise	0.05	1.0	2000.0	1.0	320.7657391000248	0.4999864000128582
199	302.2638062000042	stim	2		50	surprise	0.05	1.0	2000.0	1.0	322.2646494000219	0.49989790000836365
200	303.76380910002626	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	323.76465230004396	0.49992929998552427
201	305.2638281000254	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	325.2646713000431	0.49938949997886084
202	306.7637568000064	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	326.7646000000241	0.49997080001048744
203	308.26357450001524	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	328.26441770003294	0.5007687000033911
204	309.7649483999994	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	329.7657916000171	0.4995078000065405
205	311.26443420001306	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	331.26527740003075	0.5001272000081372
206	312.76458640000783	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	332.7654296000255	0.5000368000182789
207	314.264940699999	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	334.2657839000167	0.5001427000097465
208	315.765057600016	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	335.7659008000337	0.5004358000005595
209	317.2648905000242	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	337.2657337000419	0.5001018999901135
210	318.7642542000103	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	338.765097400028	0.4997571000130847
211	320.2638105000078	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	340.2646537000255	0.5001454000012018
212	321.76392120000673	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	341.76476440002443	0.4995296999986749
213	323.26449110000976	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	343.26533430002746	0.4998142000113148
214	324.76473510000505	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	344.76557830002275	0.499526200001128
215	326.2648113000032	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	346.2656545000209	0.5000080000027083
216	327.76493040000787	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	347.76577360002557	0.5002641000028234
217	329.26543910001055	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	349.26628230002825	0.49963279999792576
218	330.7652350999997	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	350.7660783000174	0.4999705000082031
219	332.26512760002515	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	352.26597080004285	0.49997459998121485
220	333.765873700002	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	353.7667169000197	0.4991804000164848
221	335.26561940001557	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	355.26646260003326	0.4989585999865085
222	336.764811800007	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	356.7656550000247	0.4996211999969091
223	338.26468730001943	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	358.26553050003713	0.4997913999832235
224	339.7645414000144	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	359.7653846000321	0.5001921000075527
225	341.2645009000262	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	361.2653441000439	0.4995391999837011
226	342.7653603000217	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	362.7662035000394	0.49976649999734946
227	344.26534990000073	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	364.2661931000184	0.5002851000172086
228	345.7651356999995	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	365.7659789000172	0.5006059000152163
229	347.2657596000063	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	367.266602800024	0.4999926000018604
230	348.76586450001923	stim	2		50	surprise	0.05	1.0	2000.0	1.0	368.76670770003693	0.49986209999769926
231	350.26574000000255	stim	2		50	surprise	0.05	1.0	2000.0	1.0	370.26658320002025	0.4996898999961559
232	351.76590430000215	stim	2		50	surprise	0.05	1.0	2000.0	1.0	371.76674750001985	0.49828930001240224
233	353.2648180000251	stim	2		50	surprise	0.05	1.0	2000.0	1.0	373.2656612000428	0.49986049998551607
234	354.76479720001225	stim	2		50	surprise	0.05	1.0	2000.0	1.0	374.76564040002995	0.5005717999883927
235	356.26460110000335	stim	2		50	surprise	0.05	1.0	2000.0	1.0	376.26544430002104	0.5007108999998309
236	357.76539330001106	stim	2		50	surprise	0.05	1.0	2000.0	1.0	377.76623650002875	0.49930130000575446
237	359.26574339999934	stim	2		50	surprise	0.05	1.0	2000.0	1.0	379.26658660001704	0.49980470002628863
238	360.7655888000154	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	380.7664320000331	0.5001810000103433
239	362.2657195000211	stim	2		50	surprise	0.05	1.0	2000.0	1.0	382.2665627000388	0.49991210000007413
240	363.766306000005	stim	2		50	surprise	0.05	1.0	2000.0	1.0	383.7671492000227	0.4996467000164557
241	365.2659077999997	stim	2		50	surprise	0.05	1.0	2000.0	1.0	385.2667510000174	0.5001770000089891
242	366.7658433000033	stim	2		50	surprise	0.05	1.0	2000.0	1.0	386.766686500021	0.49965209999936633
243	368.2659453000233	stim	2		50	surprise	0.05	1.0	2000.0	1.0	388.266788500041	0.49967520000063814
244	369.7658472000039	stim	2		50	surprise	0.05	1.0	2000.0	1.0	389.7666904000216	0.499689300020691
245	371.26549960000557	stim	2		50	surprise	0.05	1.0	2000.0	1.0	391.26634280002327	0.49917560000903904
246	372.7653844000015	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	392.7662276000192	0.49989970002206974
247	374.26543260001927	stim	2		50	surprise	0.05	1.0	2000.0	1.0	394.26627580003696	0.49993849999736995
248	375.76577180001186	stim	2		50	surprise	0.05	1.0	2000.0	1.0	395.76661500002956	0.5001381000038236
249	377.2660278000112	stim	2		50	surprise	0.05	1.0	2000.0	1.0	397.2668710000289	0.4999864000128582
250	378.76710740002454	stim	2		50	surprise	0.05	1.0	2000.0	1.0	398.76795060004224	0.49882029998116195
251	380.266067700024	stim	2		50	surprise	0.05	1.0	2000.0	1.0	400.2669109000417	0.5009028999775182
252	381.7661194000102	stim	2		50	surprise	0.05	1.0	2000.0	1.0	401.7669626000279	0.5003355999942869
253	383.26652760000434	stim	2		50	surprise	0.05	1.0	2000.0	1.0	403.26737080002204	0.4998924999963492
254	384.76656280001043	stim	2		50	surprise	0.05	1.0	2000.0	1.0	404.76740600002813	0.4997952000121586
255	386.265573200013	stim	2		50	surprise	0.05	1.0	2000.0	1.0	406.2664164000307	0.5000230000005104
256	387.7655572000076	stim	2		50	surprise	0.05	1.0	2000.0	1.0	407.7664004000253	0.49998510000295937
257	389.2659944000188	stim	2		50	surprise	0.05	1.0	2000.0	1.0	409.2668376000365	0.4993241000047419
258	390.765452200023	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	410.7662954000407	0.49960599999758415
259	392.26534390001325	stim	2		50	surprise	0.05	1.0	2000.0	1.0	412.26618710003095	0.501114000013331
260	393.76659670000663	stim	2		50	surprise	0.05	1.0	2000.0	1.0	413.7674399000243	0.5003046999918297
261	395.266376900021	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	415.2672201000387	0.5001865999947768
262	396.7663670000038	stim	2		50	surprise	0.05	1.0	2000.0	1.0	416.7672102000215	0.5000023000175133
263	398.2669158000208	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	418.2677590000385	0.5003896999987774
264	399.76703340001404	stim	2		50	surprise	0.05	1.0	2000.0	1.0	419.76787660003174	0.4998499999928754
265	401.2668751000019	stim	2		50	surprise	0.05	1.0	2000.0	1.0	421.2677183000196	0.4994091000116896
266	402.765746900026	stim	2		50	surprise	0.05	1.0	2000.0	1.0	422.7665901000437	0.4995879999769386
267	404.266898700007	stim	2		50	surprise	0.05	1.0	2000.0	1.0	424.2677419000247	0.49848130001919344
268	405.76621040000464	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	425.76705360002234	0.49996630000532605
269	407.26623570002266	stim	2		50	surprise	0.05	1.0	2000.0	1.0	427.26707890004036	0.49993409999297
270	408.7662951000093	stim	2		50	surprise	0.05	1.0	2000.0	1.0	428.767138300027	0.500551600009203
271	410.2665706000116	stim	2		50	surprise	0.05	1.0	2000.0	1.0	430.2674138000293	0.5005880999960937
272	411.7668123000185	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	431.7676555000362	0.4998537999927066
273	413.2668529000075	stim	2		50	surprise	0.05	1.0	2000.0	1.0	433.2676961000252	0.49991250000311993
274	414.76698700001	stim	2		50	surprise	0.05	1.0	2000.0	1.0	434.7678302000277	0.5005392000020947
275	416.2668798000086	stim	2		50	surprise	0.05	1.0	2000.0	1.0	436.2677230000263	0.5005318000039551
276	417.7673417000042	stim	2		50	surprise	0.05	1.0	2000.0	1.0	437.7681849000219	0.4999191999959294
277	419.2668948000064	stim	2		50	surprise	0.05	1.0	2000.0	1.0	439.2677380000241	0.4996044000145048
278	420.7666444000206	stim	2		50	surprise	0.05	1.0	2000.0	1.0	440.7674876000383	0.49972199997864664
279	422.2663200000243	stim	2		50	surprise	0.05	1.0	2000.0	1.0	442.267163200042	0.5000783999857958
280	423.767095600022	stim	2		50	surprise	0.05	1.0	2000.0	1.0	443.7679388000397	0.49897950000013225
281	425.2662353000196	stim	2		50	surprise	0.05	1.0	2000.0	1.0	445.2670785000373	0.5016558000061195
282	426.7668941000011	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	446.7677373000188	0.5004294000100344
283	428.26757700002054	stim	2		50	surprise	0.05	1.0	2000.0	1.0	448.26842020003824	0.49928009998984635
284	429.76742509999895	stim	2		50	surprise	0.05	1.0	2000.0	1.0	449.76826830001664	0.49995540000963956
285	431.2676092000038	stim	2		50	surprise	0.05	1.0	2000.0	1.0	451.2684524000215	0.49981880001723766
286	432.7674712000007	stim	2		50	surprise	0.05	1.0	2000.0	1.0	452.7683144000184	0.5001193000061903
287	434.2676425000245	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	454.2684857000422	0.4996953999798279
288	435.7665715000185	stim	2		50	surprise	0.05	1.0	2000.0	1.0	455.76741470003617	0.4999841999961063
289	437.26658060000045	stim	2		50	surprise	0.05	1.0	2000.0	1.0	457.26742380001815	0.4999429000017699
290	438.767648500012	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	458.7684917000297	0.4985930999973789
291	440.2670126000012	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	460.2678558000189	0.5010341000161134
292	441.7669582000235	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	461.7678014000412	0.49990039999829605
293	443.267550700024	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	463.2683939000417	0.49984439997933805
294	444.7675606000121	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	464.7684038000298	0.5003597000031732
295	446.2673549000174	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	466.2681981000351	0.5002993999805767
296	447.7677303000237	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	467.7685735000414	0.5001373999984935
297	449.2680594000267	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	469.2689026000444	0.49952109999139793
298	450.76766340000904	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	470.76850660002674	0.4997905000054743
299	452.2676710000087	stim	2		500	surprise	0.05	-1.0	1000.0	0.9804947171720192	472.2685142000264	4.999535300012212
